X,Y,Ubicacion,Fallecidos,Graves,MenosGrave,Leve,Accidentes
-70.7573302578801,-33.5055172450061,"LOS PAJARITOS & TRISTAN VALDES, MAIPU",1,0,0,2,2
-70.7573273178997,-33.5069691803751,"LOS PAJARITOS & MAIPU, MAIPU",0,0,0,1,1
-70.7573580958458,-33.510621021359,"LOS PAJARITOS & 5 DE ABRIL, MAIPU",0,1,0,3,4
-70.7572663135839,-33.5130030666416,"1725 LOS PAJARITOS, MAIPU",0,0,0,1,1
-70.7560973382074,-33.4593805732493,"LAGUNA SUR & OCEANIA, PUDAHUEL",0,0,1,0,1
-70.7558735967456,-33.4781592717842,"1291 AMERICO VESPUCIO, MAIPU",0,1,0,0,1
-70.7558817588143,-33.4790970293936,"AMERICO VESPUCIO & EL ROSAL, MAIPU",0,0,0,1,1
-70.7546781416725,-33.4225708989671,"MAPOCHO SUR & EL PASTIZAL, CERRO NAVIA",0,0,1,0,1
-70.7547377037504,-33.4495701595753,"LA ESTRELLA & GENERAL OSCAR BONILLA, PUDAHUEL",0,0,0,1,1
-70.7556899551291,-33.5106446803421,"ALBERTO LLONA & 5 DE ABRIL, MAIPU",0,0,0,2,2
-70.7537401507875,-33.4144318090458,"LA ESTRELLA & LA CAPILLA, CERRO NAVIA",0,1,0,0,1
-70.7549664861269,-33.4806701125435,"LA REFORMA & AMERICO VESPUCIO, MAIPU",0,0,0,1,1
-70.7554745289189,-33.5106387160895,"5 DE ABRIL & ESQUINA BLANCA, MAIPU",0,0,0,1,1
-70.7540336538077,-33.4439889280337,"8755 SAN PABLO, PUDAHUEL",0,1,0,0,1
-70.7553700024713,-33.5107935031457,"211 ESQUINA BLANCA, MAIPU",0,0,0,1,1
-70.7555739570617,-33.5224869097206,"ALBERTO LLONA & VICENTE REYES, MAIPU",0,0,0,1,1
-70.7555296855954,-33.5202961739693,"777 ALBERTO LLONA, MAIPU",0,0,0,1,1
-70.7535567394367,-33.4224244355789,"8176 MAPOCHO SUR, CERRO NAVIA",0,1,0,0,1
-70.752292916313,-33.3616240085779,"LO MARCOLETA & PASCUAL GAMBINO, QUILICURA",0,0,0,1,1
-70.7551664544713,-33.5055118548652,"TRISTAN VALDES & BAILEN, MAIPU",0,0,0,0,1
-70.7537449296339,-33.444074175361,"SAN PABLO & LA ESTRELLA, PUDAHUEL",0,0,0,2,3
-70.7531613312529,-33.4171995310574,"1698 LA ESTRELLA, CERRO NAVIA",0,1,0,0,1
-70.753499220868,-33.4441588135989,"8730 SAN PABLO, PUDAHUEL",0,1,0,0,1
-70.7527103442086,-33.4188381812578,"LA ESTRELLA & RIO DOURO, CERRO NAVIA",0,0,0,2,1
-70.7536372215033,-33.4654394547969,"LOS MARES & LA ESTRELLA, PUDAHUEL",0,0,1,1,2
-70.7524878005074,-33.4441460613548,"8657 SAN PABLO, PUDAHUEL",0,1,0,0,1
-70.7520395986497,-33.4218506851415,"LA ESTRELLA & MAPOCHO NORTE, CERRO NAVIA",0,0,0,1,1
-70.7522537507927,-33.4442756226522,"8636 SAN PABLO, PUDAHUEL",0,1,0,1,1
-70.752435782006,-33.4613442237227,"LA ESTRELLA & LAGUNA ZAPALLAR, PUDAHUEL",0,0,0,1,1
-70.7503323867275,-33.3630043972987,"548 MANUEL ANTONIO MATTA, QUILICURA",0,0,0,2,2
